epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,176.651,0.85914,0.83735,1.15607,0.6565,0.67663,0.69629,0.40609,1.59276,1.63409,1.38099,3.00475e-05,3.00475e-05,3.00475e-05
52,180.015,0.97422,0.96743,1.34769,0.6565,0.67663,0.69629,0.40609,1.59276,1.63409,1.38099,3.00476e-05,3.00476e-05,3.00476e-05
53,183.579,0.64638,0.70016,1.17844,0.6565,0.67663,0.69629,0.40609,1.59276,1.63409,1.38099,3.00242e-05,3.00242e-05,3.00242e-05
54,187.203,0.78507,0.90204,1.23277,0.69057,0.67147,0.69636,0.4082,1.57793,1.67501,1.38147,2.99772e-05,2.99772e-05,2.99772e-05
55,190.743,0.80049,0.95204,1.1211,0.69057,0.67147,0.69636,0.4082,1.57793,1.67501,1.38147,2.99066e-05,2.99066e-05,2.99066e-05
56,194.352,1.09843,1.44505,1.58742,0.69057,0.67147,0.69636,0.4082,1.57793,1.67501,1.38147,2.98125e-05,2.98125e-05,2.98125e-05
57,197.944,0.94353,1.50035,1.37401,0.72289,0.50346,0.69284,0.40375,1.58554,1.70669,1.39132,2.96948e-05,2.96948e-05,2.96948e-05
58,201.655,0.86468,1.45449,1.26648,0.72289,0.50346,0.69284,0.40375,1.58554,1.70669,1.39132,2.95535e-05,2.95535e-05,2.95535e-05
59,205.633,0.78138,0.82755,1.15371,0.72289,0.50346,0.69284,0.40375,1.58554,1.70669,1.39132,2.93887e-05,2.93887e-05,2.93887e-05
60,209.008,0.99671,0.77716,1.54572,0.85564,0.48108,0.67795,0.37421,1.61101,1.77439,1.4081,2.92003e-05,2.92003e-05,2.92003e-05
61,212.608,0.63483,0.68082,1.06328,0.85564,0.48108,0.67795,0.37421,1.61101,1.77439,1.4081,2.89884e-05,2.89884e-05,2.89884e-05
62,216.1,0.70044,0.89362,1.04552,0.85564,0.48108,0.67795,0.37421,1.61101,1.77439,1.4081,2.87529e-05,2.87529e-05,2.87529e-05
63,220.008,0.7691,0.82334,1.1536,0.85533,0.47846,0.67726,0.37372,1.64238,1.85476,1.42544,2.84938e-05,2.84938e-05,2.84938e-05
64,223.667,0.62618,0.65291,1.06695,0.85533,0.47846,0.67726,0.37372,1.64238,1.85476,1.42544,2.82112e-05,2.82112e-05,2.82112e-05
65,227.179,0.66115,0.68238,1.21625,0.85533,0.47846,0.67726,0.37372,1.64238,1.85476,1.42544,2.7905e-05,2.7905e-05,2.7905e-05
66,230.316,0.6845,0.91624,1.08126,0.85204,0.47745,0.67714,0.37589,1.7068,1.912,1.44718,2.75753e-05,2.75753e-05,2.75753e-05
67,233.906,0.7365,1.10898,1.10175,0.85204,0.47745,0.67714,0.37589,1.7068,1.912,1.44718,2.7222e-05,2.7222e-05,2.7222e-05
68,237.039,1.04234,1.77302,1.4054,0.85204,0.47745,0.67714,0.37589,1.7068,1.912,1.44718,2.68451e-05,2.68451e-05,2.68451e-05
69,241.897,0.64235,1.09566,1.12534,0.84152,0.48636,0.56788,0.28283,1.65511,1.95286,1.41995,2.64447e-05,2.64447e-05,2.64447e-05
70,245.338,0.97698,0.86582,1.42902,0.84152,0.48636,0.56788,0.28283,1.65511,1.95286,1.41995,2.60207e-05,2.60207e-05,2.60207e-05
71,248.784,0.94791,1.28785,1.31587,0.84152,0.48636,0.56788,0.28283,1.65511,1.95286,1.41995,2.55731e-05,2.55731e-05,2.55731e-05
72,252,0.59371,0.63765,1.07461,0.84044,0.48538,0.54131,0.27388,1.72459,2.00169,1.44479,2.5102e-05,2.5102e-05,2.5102e-05
